date,gold,silver
05/29/1985,170.55,265.5
05/30/1985,169.52,263.42
05/31/1985,171.11,264.33
06/03/1985,171.64,264.49
06/04/1985,171.03,262.19
06/05/1985,170.69,262.46
06/06/1985,170.99,265.29
06/07/1985,170.38,263.42
06/10/1985,170.22,264.22
06/11/1985,170.09,264.38
06/12/1985,170.01,265.62
06/13/1985,170.42,265
06/14/1985,172.93,268.39
06/17/1985,172.93,267.84
06/18/1985,177.64,278.34
06/19/1985,174.61,271.04
06/20/1985,169.91,262.37
06/21/1985,170.27,263.14
06/24/1985,171.06,263.8
06/25/1985,171.31,264.4
06/26/1985,171.08,263.82
06/27/1985,171.75,263.65
06/28/1985,171.09,262.43
07/01/1985,167.47,254.74
07/02/1985,167.83,253.52
07/03/1985,167.86,254.42
07/04/1985,167.86,254.42
07/05/1985,167.93,254.52
07/08/1985,170.83,258.7
07/09/1985,169.75,259.18
07/10/1985,170.71,260.93
07/11/1985,170.19,257.79
07/12/1985,172.48,261.88
07/15/1985,172.16,263.1
07/16/1985,173.57,266.13
07/17/1985,175.24,267.88
07/18/1985,172.47,262.83
07/19/1985,172.51,262.88
07/22/1985,174.51,264.1
07/23/1985,172.43,262.02
07/24/1985,172.94,261.01
07/25/1985,173.13,261.7
07/26/1985,174.54,269.21
07/29/1985,175.92,269.16
07/30/1985,175.85,269.43
07/31/1985,177.58,270.12
08/01/1985,173.8,265.48
08/02/1985,174.74,266.18
08/05/1985,175.32,264.84
08/06/1985,174.3,263.4
08/07/1985,175.18,264.1
08/08/1985,174.9,263.92
08/09/1985,178.49,270.12
08/12/1985,177.75,270.97
08/13/1985,177.57,271.09
08/14/1985,177.56,270.52
08/15/1985,180.89,271.21
08/16/1985,183.69,275.16
08/19/1985,183.9,271
08/20/1985,182.45,269.13
08/21/1985,184.19,271.15
08/22/1985,181.41,267.34
08/23/1985,182.4,267.86
08/26/1985,182.62,271.43
08/27/1985,183.24,272.41
08/28/1985,185.03,271.66
08/29/1985,182.03,267.25
08/30/1985,181.11,268.15
09/02/1985,181.11,268.15
09/03/1985,176.56,258.25
09/04/1985,176.65,259.99
09/05/1985,174.12,260.04
09/06/1985,174.32,263.04
09/09/1985,173.68,257.93
09/10/1985,174.99,259.88
09/11/1985,174.55,259.93
09/12/1985,174.37,258.72
09/13/1985,173.17,258.35
09/16/1985,173.55,258.71
09/17/1985,171.98,254.54
09/18/1985,171.1,254.17
09/19/1985,173.7,258.03
09/20/1985,173.31,257.45
09/23/1985,178.72,265
09/24/1985,179.34,265.05
09/25/1985,179.11,264.26
09/26/1985,178.02,260.29
09/27/1985,178.43,261.19
09/30/1985,175.42,258.17
10/01/1985,175.46,259.49
10/02/1985,176.14,259.75
10/03/1985,179.17,273.99
10/04/1985,178.3,271.29
10/07/1985,177.49,271.66
10/08/1985,176.5,269.6
10/09/1985,176.75,267.1
10/10/1985,176.84,266.31
10/11/1985,177.74,268.7
10/14/1985,177.36,269.07
10/15/1985,177.02,267.85
10/16/1985,175.82,261.53
10/17/1985,176.71,263.58
10/18/1985,177.45,264.82
10/21/1985,177.39,263.92
10/22/1985,177.81,266.44
10/23/1985,177.25,264.88
10/24/1985,176.85,265.57
10/25/1985,177.54,265.62
10/28/1985,177.37,265.06
10/29/1985,177.63,266.26
10/30/1985,176.85,263.04
10/31/1985,176.29,261.04
11/01/1985,177.09,262.8
11/04/1985,176.65,261.26
11/05/1985,176.2,261.31
11/06/1985,175.86,261.15
11/07/1985,174.6,258.43
11/08/1985,175.98,261.68
11/11/1985,175.5,260.78
11/12/1985,176.23,263.57
11/13/1985,176.48,264.81
11/14/1985,176.36,262.77
11/15/1985,175.8,260.94
11/18/1985,175.91,261.35
11/19/1985,175.95,261.61
11/20/1985,177.11,264.89
11/21/1985,177.46,265.07
11/22/1985,177.5,266.72
11/25/1985,180.55,269.4
11/26/1985,179.84,267.86
11/27/1985,176.98,261.28
11/28/1985,176.98,261.28
11/29/1985,175.5,260.97
12/02/1985,175.18,261.96
12/03/1985,175.32,260.12
12/04/1985,174.82,259.54
12/05/1985,175.5,260.23
12/06/1985,175.16,258.81
12/09/1985,171.82,249.91
12/10/1985,172.61,248.91
12/11/1985,172.05,247.28
12/12/1985,172.25,250.91
12/13/1985,173.25,252.01
12/16/1985,174.81,253.42
12/17/1985,174.3,247.78
12/18/1985,176.17,250.78
12/19/1985,176.15,250.62
12/20/1985,176.99,251.09
12/23/1985,176.88,247.02
12/24/1985,176.86,248.55
12/25/1985,176.86,248.55
12/26/1985,176.66,247.38
12/27/1985,177.4,251.44
12/30/1985,178.36,250.74
12/31/1985,178.67,249.73
01/01/1986,178.67,249.73
01/02/1986,177.55,246.66
01/03/1986,178.18,249.46
01/06/1986,178.66,250.24
01/07/1986,179.83,253.04
01/08/1986,181.66,253.3
01/09/1986,183.74,262.46
01/10/1986,185.6,260.61
01/13/1986,184.75,257.37
01/14/1986,184.46,257.63
01/15/1986,189.79,263.41
01/16/1986,193.31,263.46
01/17/1986,193.24,263.72
01/20/1986,192.13,264.52
01/21/1986,190.93,265
01/22/1986,190.28,263.14
01/23/1986,190.58,264.05
01/24/1986,194.16,269.2
01/27/1986,191.91,264.25
01/28/1986,191.58,263.46
01/29/1986,193.28,264.78
01/30/1986,192.88,261.22
01/31/1986,189.43,258.5
02/03/1986,186.59,252.91
02/04/1986,181.26,250.19
02/05/1986,182.31,252.58
02/06/1986,182.94,250.5
02/07/1986,184.1,253.32
02/10/1986,183.3,252.62
02/11/1986,183.76,254.35
02/12/1986,183.37,253.34
02/13/1986,180.44,251.24
02/14/1986,180.96,252.93
02/17/1986,180.96,252.93
02/18/1986,183,251.92
02/19/1986,182.66,252.68
02/20/1986,183.98,251.68
02/21/1986,185.05,252.36
02/24/1986,189.31,255.93
02/25/1986,188.8,252.26
02/26/1986,182.64,240.75
02/27/1986,183.05,240.62
02/28/1986,184.06,241.01
03/03/1986,183.9,239.67
03/04/1986,186.9,241.2
03/05/1986,186.13,239.13
03/06/1986,186.06,239.6
03/07/1986,186.85,239.86
03/10/1986,185.65,239.57
03/11/1986,186.55,242.8
03/12/1986,190.97,248.98
03/13/1986,188.97,243.53
03/14/1986,188.85,242.73
03/17/1986,189.97,246.88
03/18/1986,189.74,244.18
03/19/1986,190.04,244.64
03/20/1986,191.04,246.6
03/21/1986,193.65,246.01
03/24/1986,190.48,242.96
03/25/1986,186.55,237.91
03/26/1986,187.01,239.44
03/27/1986,186.35,236.3
03/28/1986,186.35,236.3
03/31/1986,179.82,219.47
04/01/1986,181.03,215.26
04/02/1986,182.41,219.98
04/03/1986,181.85,219.17
04/04/1986,181.88,222.18
04/07/1986,184.18,228.26
04/08/1986,184.43,229.77
04/09/1986,184.09,229.15
04/10/1986,183.85,230.29
04/11/1986,187.01,236.66
04/14/1986,185.33,230.8
04/15/1986,184.93,230.84
04/16/1986,184.15,231.98
04/17/1986,183.97,225.28
04/18/1986,186.8,218.75
04/21/1986,186.35,215.02
04/22/1986,188.16,219.86
04/23/1986,187.71,220.57
04/24/1986,187.2,217.87
04/25/1986,186.75,217.27
04/28/1986,186.62,214.6
04/29/1986,187.25,216.28
04/30/1986,187.93,219.05
05/01/1986,185.09,217.82
05/02/1986,186.15,222.93
05/05/1986,185.98,220.51
05/06/1986,185.9,221.6
05/07/1986,186.9,221.43
05/08/1986,186.77,222.73
05/09/1986,186.83,222.56
05/12/1986,186.95,220.13
05/13/1986,186.77,217.21
05/14/1986,185.73,214.92
05/15/1986,185.92,216.23
05/16/1986,186.17,216.26
05/19/1986,184.6,207.27
05/20/1986,184.15,211.12
05/21/1986,184.23,210.73
05/22/1986,185.77,215
05/23/1986,185.69,219.49
05/26/1986,185.69,219.49
05/27/1986,185.45,219.22
05/28/1986,185.91,217.35
05/29/1986,186.59,222.05
05/30/1986,186.67,223.57
06/02/1986,185.69,219.23
06/03/1986,185.83,219.48
06/04/1986,185.6,220.16
06/05/1986,185.52,220.19
06/06/1986,185.66,220.44
06/09/1986,190.82,229.46
06/10/1986,189.24,228.04
06/11/1986,189.54,229.16
06/12/1986,188.55,226.19
06/13/1986,188.05,224.29
06/16/1986,182.05,215.67
06/17/1986,183.05,215.96
06/18/1986,183.73,216.21
06/19/1986,183.98,216.04
06/20/1986,184.99,217.55
06/23/1986,185.41,215.98
06/24/1986,186.46,217.07
06/25/1986,187.52,217.65
06/26/1986,187.28,215.16
06/27/1986,187.48,211.58
06/30/1986,188.01,217.59
07/01/1986,187.01,217.29
07/02/1986,186.56,215.97
07/03/1986,186.59,216.01
07/04/1986,186.59,216.01
07/07/1986,187.25,215.82
07/08/1986,190.17,218.72
07/09/1986,189.34,217.07
07/10/1986,188.83,215.84
07/11/1986,188.4,215.75
07/14/1986,187.69,213.96
07/15/1986,189.16,215.94
07/16/1986,188.98,214.58
07/17/1986,188.95,215.25
07/18/1986,193.3,215.71
07/21/1986,192.91,214.75
07/22/1986,191.88,213.1
07/23/1986,189.3,214.61
07/24/1986,189.49,213.29
07/25/1986,188.93,212.65
07/28/1986,192.81,214.45
07/29/1986,191.35,213.46
07/30/1986,191.38,212.52
07/31/1986,197.33,217.09
08/01/1986,196.19,221.91
08/04/1986,196.02,220.87
08/05/1986,195.57,221.25
08/06/1986,196.35,220.18
08/07/1986,197.34,221.49
08/08/1986,204.43,226.19
08/11/1986,213.08,237.04
08/12/1986,209.86,229.71
08/13/1986,209.51,225.05
08/14/1986,210.62,226.71
08/15/1986,208.78,224.12
08/18/1986,204.92,217.12
08/19/1986,203.98,217.78
08/20/1986,206.21,219.7
08/21/1986,209.19,220.82
08/22/1986,203.28,215.88
08/25/1986,207.12,217.65
08/26/1986,206.67,217.56
08/27/1986,207.08,218.43
08/28/1986,210.17,218.55
08/29/1986,210.9,218.8
09/01/1986,210.9,218.8
09/02/1986,220.79,230.44
09/03/1986,220.18,226.28
09/04/1986,223,227.57
09/05/1986,223.04,237.45
09/08/1986,223.61,240.69
09/09/1986,222.57,241.9
09/10/1986,220.13,237.62
09/11/1986,221.88,242.05
09/12/1986,226.48,246.91
09/15/1986,227.01,249.41
09/16/1986,225.92,245.88
09/17/1986,225.2,244.36
09/18/1986,227.27,244.19
09/19/1986,237.2,254.5
09/22/1986,239.56,254.19
09/23/1986,234.65,251.92
09/24/1986,234.68,251.03
09/25/1986,236.22,244.85
09/26/1986,232.33,236.91
09/29/1986,230.06,233.44
09/30/1986,231.55,236.42
10/01/1986,231.26,236.66
10/02/1986,237.7,245.95
10/03/1986,235.8,239.68
10/06/1986,238.76,244.62
10/07/1986,239.87,241.92
10/08/1986,238.61,243.85
10/09/1986,233.58,239.67
10/10/1986,234.42,239.71
10/13/1986,235.98,241.07
10/14/1986,232.4,237.53
10/15/1986,231.46,236.51
10/16/1986,230.79,235.07
10/17/1986,228.01,237
10/20/1986,231.73,246.16
10/21/1986,231.22,244.93
10/22/1986,231.69,247.5
10/23/1986,225.67,239.73
10/24/1986,221.49,238.71
10/27/1986,221.91,239.24
10/28/1986,223.89,239.49
10/29/1986,220.35,237.62
10/30/1986,221.79,241.46
10/31/1986,219.44,239.81
11/03/1986,220.24,242.23
11/04/1986,222.6,243.11
11/05/1986,221.23,238.92
11/06/1986,223.37,243.82
11/07/1986,222.43,244.7
11/10/1986,220.85,243.52
11/11/1986,221.83,244.42
11/12/1986,221.92,246.1
11/13/1986,222,246.59
11/14/1986,216.28,241.62
11/17/1986,211.32,233.62
11/18/1986,214.26,235.83
11/19/1986,211.11,231.9
11/20/1986,212.87,230.55
11/21/1986,206.12,221.35
11/24/1986,207.99,223.58
11/25/1986,209.96,225.42
11/26/1986,208.64,224.03
11/27/1986,208.64,224.03
11/28/1986,212.86,229.12
12/01/1986,214.41,231.73
12/02/1986,211.96,227.37
12/03/1986,213.56,229.08
12/04/1986,211.38,227.86
12/05/1986,212.06,228.52
12/08/1986,212.58,228.62
12/09/1986,210.83,226.35
12/10/1986,212.32,228.48
12/11/1986,212.68,228.94
12/12/1986,213.85,229.6
12/15/1986,215.35,233.27
12/16/1986,214.25,227.85
12/17/1986,213.74,228.1
12/18/1986,215.13,229.39
12/19/1986,214.08,228.59
12/22/1986,214.45,228.49
12/23/1986,211.88,225.16
12/24/1986,212.73,225.41
12/25/1986,212.73,225.41
12/26/1986,212.79,225.48
12/29/1986,212.3,225.16
12/30/1986,212.6,224.56
12/31/1986,220.49,229.64
01/01/1987,220.49,229.64
01/02/1987,218.98,231.06
01/05/1987,219.63,230.88
01/06/1987,218.15,228.81
01/07/1987,219.32,229.69
01/08/1987,219.14,229.72
01/09/1987,221.12,233.55
01/12/1987,222.71,235.98
01/13/1987,223.88,235.38
01/14/1987,227.73,237.73
01/15/1987,226.53,238.07
01/16/1987,226.73,238.1
01/19/1987,230.11,240.95
01/20/1987,221.91,232.68
01/21/1987,222.32,234.61
01/22/1987,222.41,236.55
01/23/1987,220.45,235.95
01/26/1987,223.94,240.27
01/27/1987,226.34,241.36
01/28/1987,223.63,238.02
01/29/1987,224.69,238.9
01/30/1987,220.57,233.44
02/02/1987,218.45,233.13
02/03/1987,219.78,234.43
02/04/1987,219.28,233.62
02/05/1987,220.39,236.19
02/06/1987,219.99,235.17
02/09/1987,219.99,236.14
02/10/1987,219.48,236.19
02/11/1987,219.14,234.75
02/12/1987,215.28,231.19
02/13/1987,216.61,231.44
02/16/1987,216.61,231.44
02/17/1987,213.61,229.15
02/18/1987,213.86,229.36
02/19/1987,217.9,232.08
02/20/1987,221.18,234.67
02/23/1987,219.07,232.27
02/24/1987,219.1,231.93
02/25/1987,219.46,232.21
02/26/1987,221.28,231.54
02/27/1987,220.72,230.61
03/02/1987,219.85,232.48
03/03/1987,221.78,232.09
03/04/1987,223.49,233.09
03/05/1987,221.68,236.45
03/06/1987,221.17,236.48
03/09/1987,220.56,235.75
03/10/1987,221.59,235.91
03/11/1987,221.65,235.53
03/12/1987,222.55,239.35
03/13/1987,219.9,237.03
03/16/1987,220.86,236.72
03/17/1987,221,236
03/18/1987,220.61,236.84
03/19/1987,220.7,236.58
03/20/1987,220.84,235.23
03/23/1987,223.47,243.56
03/24/1987,225.34,250.55
03/25/1987,224.94,249.95
03/26/1987,224.11,251.26
03/27/1987,230.18,263.1
03/30/1987,229.42,266.81
03/31/1987,227.74,262.42
04/01/1987,227.66,265.84
04/02/1987,227.54,268.2
04/03/1987,228.49,272.25
04/06/1987,227.9,277.87
04/07/1987,229.88,285.73
04/08/1987,228.78,280.27
04/09/1987,235.51,289.83
04/10/1987,235.65,287.64
04/13/1987,237.97,290.32
04/14/1987,245.46,308.09
04/15/1987,241.12,306.59
04/16/1987,241.59,308.81
04/17/1987,241.59,308.81
04/20/1987,246.89,329.35
04/21/1987,243.79,333.17
04/22/1987,244.64,340.93
04/23/1987,250.58,361.92
04/24/1987,251.76,382.91
04/27/1987,241.33,351.68
04/28/1987,246.08,324.76
04/29/1987,245.47,335.7
04/30/1987,247.13,338.69
05/01/1987,248.79,346.29
05/04/1987,252,367.43
05/05/1987,249.66,352.39
05/06/1987,249.7,352.03
05/07/1987,249.09,350.61
05/08/1987,247.55,351.51
05/11/1987,248.19,363.02
05/12/1987,250.34,370.21
05/13/1987,249.62,366.71
05/14/1987,252.66,372.65
05/15/1987,258.44,399.17
05/18/1987,256.68,383.81
05/19/1987,259.78,396.06
05/20/1987,257.19,387.08
05/21/1987,255.67,372.42
05/22/1987,252.6,348.08
05/25/1987,252.6,348.08
05/26/1987,245.79,318.86
05/27/1987,244.11,310.91
05/28/1987,246.94,322.75
05/29/1987,245.1,323.02
06/01/1987,242.86,314.33
06/02/1987,248.38,330.39
06/03/1987,245.03,321.17
06/04/1987,246.52,330.91
06/05/1987,246.88,330.12
06/08/1987,244.58,321.86
06/09/1987,249.2,333.75
06/10/1987,248.43,332.29
06/11/1987,252.24,337.63
06/12/1987,247.22,326.52
06/15/1987,246.15,324.47
06/16/1987,243.6,317.64
06/17/1987,243.59,314.73
06/18/1987,245.13,316.03
06/19/1987,241.99,303.03
06/22/1987,237.84,284.19
06/23/1987,239.5,291.62
06/24/1987,240.94,293.63
06/25/1987,239.58,290.13
06/26/1987,243.02,294.39
06/29/1987,242.75,300.75
06/30/1987,244.3,309.57
07/01/1987,242.83,314.63
07/02/1987,242.54,313.22
07/03/1987,242.54,313.22
07/06/1987,243.51,320.11
07/07/1987,241.28,316.19
07/08/1987,241.7,323.15
07/09/1987,241.74,324.66
07/10/1987,241.38,320.74
07/13/1987,242.88,321.94
07/14/1987,243.44,321.57
07/15/1987,246.71,329.37
07/16/1987,246.75,327.53
07/17/1987,243.5,314.6
07/20/1987,245.21,323.13
07/21/1987,245.99,325.48
07/22/1987,247.19,328.26
07/23/1987,247.28,325.59
07/24/1987,246.74,326.06
07/27/1987,246.75,326.21
07/28/1987,248.38,335.91
07/29/1987,248.68,338.48
07/30/1987,251.1,351.12
07/31/1987,252.1,350.55
08/03/1987,259.23,370.67
08/04/1987,259.59,372.83
08/05/1987,253.64,352.1
08/06/1987,254.21,348.8
08/07/1987,246.92,320.49
08/10/1987,250.13,326.37
08/11/1987,252.09,330.44
08/12/1987,251.49,331.92
08/13/1987,248.77,322.73
08/14/1987,245.3,312.01
08/17/1987,246.43,319.14
08/18/1987,248.92,325.35
08/19/1987,248.75,329.58
08/20/1987,246.08,316.08
08/21/1987,247.98,323.36
08/24/1987,250.02,328.65
08/25/1987,248.2,324.33
08/26/1987,248.24,325.62
08/27/1987,247.16,318.1
08/28/1987,245.92,310.42
08/31/1987,244.66,311.82
09/01/1987,246.89,309.39
09/02/1987,252.59,328.49
09/03/1987,251.73,324.82
09/04/1987,251.29,321.98
09/07/1987,251.29,321.98
09/08/1987,248.63,315.77
09/09/1987,248.14,317.49
09/10/1987,251.44,338.9
09/11/1987,248.12,324.86
09/14/1987,247.99,322.54
09/15/1987,249.16,321.98
09/16/1987,248.77,314.98
09/17/1987,249.78,319.81
09/18/1987,248.97,310.94
09/21/1987,251.24,323.99
09/22/1987,251.07,320.72
09/23/1987,251.01,323.06
09/24/1987,251.06,321.87
09/25/1987,249.98,320.27
09/28/1987,250,320.85
09/29/1987,248.97,322.78
09/30/1987,246.02,316.8
10/01/1987,246.54,318.11
10/02/1987,246.91,318.58
10/05/1987,248.39,321.67
10/06/1987,248.38,322.36
10/07/1987,248.8,323.25
10/08/1987,250.51,331.02
10/09/1987,250.77,329.83
10/12/1987,250.8,328.97
10/13/1987,249.39,325.27
10/14/1987,250.41,329.3
10/15/1987,251.53,327.27
10/16/1987,256.14,332.34
10/19/1987,261.94,345.9
10/20/1987,251.61,304.4
10/21/1987,253.92,311.98
10/22/1987,254.78,312.88
10/23/1987,256.71,317.75
10/26/1987,258.31,312.91
10/27/1987,258.04,309.83
10/28/1987,259,309.47
10/29/1987,252.69,289.86
10/30/1987,254.09,292.64
11/02/1987,254.9,291.72
11/03/1987,253.91,286.52
11/04/1987,252.65,280.49
11/05/1987,247.83,263.98
11/06/1987,249.43,272.4
11/09/1987,250.2,274.22
11/10/1987,249.78,273.82
11/11/1987,250.16,275.59
11/12/1987,251.1,278.73
11/13/1987,251.62,282.72
11/16/1987,251.05,278.46
11/17/1987,251.95,282.53
11/18/1987,251.45,278.39
11/19/1987,252.03,276.33
11/20/1987,254.42,280.2
11/23/1987,257.7,291.95
11/24/1987,257.37,290.68
11/25/1987,258.21,291.31
11/26/1987,258.21,291.31
11/27/1987,263.33,300.51
11/30/1987,266.08,296.33
12/01/1987,265.58,291.63
12/02/1987,264.29,293.12
12/03/1987,264.38,289.87
12/04/1987,261.21,283.32
12/07/1987,260.64,280.56
12/08/1987,261.8,282.46
12/09/1987,262.27,282.92
12/10/1987,266.49,291.42
12/11/1987,269.11,290.64
12/14/1987,268.38,293.68
12/15/1987,261.34,279.68
12/16/1987,262.94,284.06
12/17/1987,262.77,285.76
12/18/1987,259.75,284.36
12/21/1987,259.72,285.75
12/22/1987,262.02,286
12/23/1987,261.31,282.74
12/24/1987,263.02,285.68
12/25/1987,263.02,285.68
12/28/1987,264.01,287.53
12/29/1987,263.14,281.99
12/30/1987,261.08,277.69
12/31/1987,262.95,280.43
01/01/1988,262.95,280.43
01/04/1988,258.6,271.49
01/05/1988,260.1,287.08
01/06/1988,261.27,296.24
01/07/1988,260.13,290.69
01/08/1988,261.46,292.81
01/11/1988,260.57,287.98
01/12/1988,259.92,282.63
01/13/1988,259.59,284.13
01/14/1988,263.14,287.92
01/15/1988,255.79,276.55
01/18/1988,257.14,279.38
01/19/1988,257.93,280.26
01/20/1988,257.17,277.81
01/21/1988,258.28,280.77
01/22/1988,257.73,283.93
01/25/1988,253.33,275.96
01/26/1988,253.32,277.05
01/27/1988,251.97,278.34
01/28/1988,251.64,277.35
01/29/1988,244.75,272.4
02/01/1988,244.81,275.24
02/02/1988,244.8,273
02/03/1988,236.4,264.71
02/04/1988,239.48,267.88
02/05/1988,236.85,263.55
02/08/1988,237.39,263.68
02/09/1988,237.91,262.27
02/10/1988,237.42,262.93
02/11/1988,237.08,263.38
02/12/1988,240.06,266.68
02/15/1988,240.06,266.68
02/16/1988,239.62,266.27
02/17/1988,240.52,269.4
02/18/1988,238.73,265.32
02/19/1988,239.95,267.39
02/22/1988,239.85,267.93
02/23/1988,238.12,263.31
02/24/1988,232.69,258.85
02/25/1988,233.05,261.04
02/26/1988,231.16,257.37
02/29/1988,231.7,261
03/01/1988,232,260.22
03/02/1988,231.93,259.84
03/03/1988,230.3,261.74
03/04/1988,235.55,268.6
03/07/1988,235.55,267.28
03/08/1988,234.52,263.81
03/09/1988,235.03,263.23
03/10/1988,238.84,261.83
03/11/1988,237.87,258.14
03/14/1988,238.14,260.75
03/15/1988,240.57,265.97
03/16/1988,240.08,264.35
03/17/1988,239.16,263.36
03/18/1988,239.36,265.89
03/21/1988,242.3,269.33
03/22/1988,241.96,269.99
03/23/1988,243.28,276.04
03/24/1988,244.54,281.27
03/25/1988,243.99,278.41
03/28/1988,245.5,278.34
03/29/1988,245.33,280.04
03/30/1988,246.17,281.96
03/31/1988,244.39,281.59
04/01/1988,244.39,281.59
04/04/1988,245.4,283.43
04/05/1988,243.68,277.66
04/06/1988,241.1,268.56
04/07/1988,241.89,267.36
04/08/1988,242.46,267.53
04/11/1988,243.12,268.99
04/12/1988,242.62,267.17
04/13/1988,240.47,263.93
04/14/1988,244.2,269.18
04/15/1988,245.31,269.48
04/18/1988,247.15,268.26
04/19/1988,246.49,269.29
04/20/1988,245.78,268.71
04/21/1988,244.86,269.17
04/22/1988,242.33,267.37
04/25/1988,241.22,265.44
04/26/1988,241.9,266.22
04/27/1988,243.55,271
04/28/1988,242.67,269.72
04/29/1988,242.71,271
05/02/1988,239.94,264.96
05/03/1988,238.85,262.74
05/04/1988,239.69,263.81
05/05/1988,239.95,265.3
05/06/1988,239.08,265.96
05/09/1988,241.08,269.81
05/10/1988,242.64,273.98
05/11/1988,242.46,273.2
05/12/1988,243.58,274.07
05/13/1988,243.68,276.39
05/16/1988,244.87,274.47
05/17/1988,244.97,272.66
05/18/1988,246.02,278.69
05/19/1988,245.96,275.65
05/20/1988,246.27,278.79
05/23/1988,248.69,280.8
05/24/1988,248.2,281.47
05/25/1988,244.73,274.7
05/26/1988,244.72,275.37
05/27/1988,243.32,271.9
05/30/1988,243.32,271.9
05/31/1988,245.52,275.2
06/01/1988,246.95,284.14
06/02/1988,251.86,302.41
06/03/1988,250.73,301.01
06/06/1988,250.22,303.04
06/07/1988,248.5,301.64
06/08/1988,246.36,295.5
06/09/1988,246.94,297.62
06/10/1988,242.49,290.86
06/13/1988,242.89,292.63
06/14/1988,243.36,293.29
06/15/1988,244.05,296.83
06/16/1988,243.07,296.39
06/17/1988,245.47,301.11
06/20/1988,243.57,298.9
06/21/1988,244.1,298.95
06/22/1988,242.85,291.75
06/23/1988,241.77,290.37
06/24/1988,239.19,283.16
06/27/1988,239.27,288.77
06/28/1988,236.41,281.48
06/29/1988,235.27,275.79
06/30/1988,235,278.1
07/01/1988,236.06,278.97
07/04/1988,236.06,278.97
07/05/1988,236.61,281.64
07/06/1988,236.87,283.75
07/07/1988,237.13,288.52
07/08/1988,237.15,291.25
07/11/1988,234.83,288.74
07/12/1988,236.03,290.31
07/13/1988,237.83,298.1
07/14/1988,236.93,302.89
07/15/1988,237.71,304.18
07/18/1988,236.53,297.55
07/19/1988,241.41,321.29
07/20/1988,240.51,325.47
07/21/1988,238.98,321.82
07/22/1988,239.02,316.32
07/25/1988,230.22,292.79
07/26/1988,233.15,286.25
07/27/1988,233.99,289.61
07/28/1988,233.66,278.93
07/29/1988,235.55,282.91
08/01/1988,234.79,285.55
08/02/1988,233.2,282.51
08/03/1988,234.2,284.21
08/04/1988,233.98,285.09
08/05/1988,233.39,284.74
08/08/1988,232.58,277.72
08/09/1988,231.04,274.24
08/10/1988,231.93,277.63
08/11/1988,231.87,277.92
08/12/1988,232.97,279.03
08/15/1988,234,281.05
08/16/1988,231.88,274.96
08/17/1988,233.03,276.22
08/18/1988,233.71,277.25
08/19/1988,233.39,276.49
08/22/1988,234.48,279.53
08/23/1988,233.79,279.63
08/24/1988,235.21,281.75
08/25/1988,234.09,278.77
08/26/1988,233.71,276.55
08/29/1988,232.42,271.04
08/30/1988,231.94,269.88
08/31/1988,233.15,272.37
09/01/1988,232.56,272.83
09/02/1988,231.92,270.45
09/05/1988,231.92,270.45
09/06/1988,230.73,269.24
09/07/1988,231.26,271.74
09/08/1988,231.62,274.23
09/09/1988,227.53,267.17
09/12/1988,227.4,267.13
09/13/1988,227.55,268.61
09/14/1988,227.49,269.07
09/15/1988,225.95,268.11
09/16/1988,222.38,262.26
09/19/1988,221.02,263.85
09/20/1988,218.88,259.09
09/21/1988,215.04,256
09/22/1988,215.41,259.03
09/23/1988,212.63,255.5
09/26/1988,213.29,253.2
09/27/1988,214.5,255.5
09/28/1988,215.03,255.55
09/29/1988,214.11,255.8
09/30/1988,212.87,254.22
10/03/1988,214.6,258.87
10/04/1988,214.91,258.92
10/05/1988,216.35,261.02
10/06/1988,217.83,260.46
10/07/1988,217.5,261.94
10/10/1988,220.52,262.72
10/11/1988,218.27,256.84
10/12/1988,220.34,261.8
10/13/1988,219.42,261.03
10/14/1988,220.59,263.54
10/17/1988,222.33,265.35
10/18/1988,222.16,263.35
10/19/1988,221.99,262.58
10/20/1988,222.41,262.84
10/21/1988,220.37,257.77
10/24/1988,219.06,256.7
10/25/1988,219.43,257.7
10/26/1988,220.39,257.75
10/27/1988,219.89,256.57
10/28/1988,222.51,260.2
10/31/1988,222.76,260.9
11/01/1988,222.22,260.42
11/02/1988,227.74,268.49
11/03/1988,227.52,265.25
11/04/1988,227.46,265.93
11/07/1988,228.24,268.76
11/08/1988,226.4,264.51
11/09/1988,228.32,270.92
11/10/1988,226.1,265.24
11/11/1988,227.4,264.41
11/14/1988,228.66,265.7
11/15/1988,228.92,263.66
11/16/1988,229.08,259.97
11/17/1988,226.73,255.52
11/18/1988,225.18,250.94
11/21/1988,224.42,248.84
11/22/1988,225.33,251.03
11/23/1988,226.39,252.02
11/24/1988,226.39,252.02
11/25/1988,226.49,252.13
11/28/1988,228.29,253.35
11/29/1988,227.92,250.09
11/30/1988,229.3,254.23
12/01/1988,228.82,252.47
12/02/1988,233.2,256.16
12/05/1988,232.02,255.32
12/06/1988,231.22,255.18
12/07/1988,228.65,254.23
12/08/1988,228.17,253.59
12/09/1988,228.7,255.35
12/12/1988,227.25,255.24
12/13/1988,227.03,255.18
12/14/1988,227.94,255.64
12/15/1988,223.12,250.83
12/16/1988,223.7,251.7
12/19/1988,224.07,252.88
12/20/1988,223.85,252.25
12/21/1988,224.6,253
12/22/1988,225.99,254.6
12/23/1988,226.2,254.94
12/26/1988,226.2,254.94
12/27/1988,226.03,254.36
12/28/1988,223.77,251.69
